,Месяц,Коэффициент пролонгаций 1,Коэффициент пролонгаций 2
0,январь 2023,0.4471564823888933,0.13463676695619625
1,февраль 2023,0.7378930125843663,0.09087062781036499
2,март 2023,0.6695716622632695,0.16166210920685742
3,апрель 2023,0.5035813097155282,0.09230009478521987
4,май 2023,0.5802271050331492,0.0
5,июнь 2023,0.26130676984008006,0.038059007840357574
6,июль 2023,0.5294821327565029,0.10612789430055719
7,август 2023,0.48720696345385334,0.03601721542346459
8,сентябрь 2023,0.3351362200582144,0.0
9,октябрь 2023,0.8176775642299451,0.11239701738196863
10,ноябрь 2023,0.5178822667639573,0.018931474326249177
11,декабрь 2023,0.5445954213860256,0.1554981096055139
